wavelength,etr
426.82,1.648979553222656
436.99,1.8996796875
447.17,1.994080322265625
457.34,2.061700164794922
467.52,1.973119110107422
477.69,2.067090148925781
487.87,1.916019287109375
498.04,1.923959991455078
508.22,1.8987001037597655
518.39,1.7375491943359374
528.57,1.9307306518554688
538.74,1.876740478515625
548.92,1.8756790771484375
559.09,1.757790832519531
569.27,1.83018994140625
579.45,1.8241002197265626
589.62,1.6846355224609375
599.8,1.7687999267578125
609.97,1.7243002929687499
620.15,1.7129503173828127
630.32,1.6630799560546876
640.5,1.6115
650.67,1.5842885131835938
660.85,1.5647998046875
671.02,1.5285395507812498
681.2,1.4882000732421876
691.37,1.462820068359375
701.55,1.40518017578125
711.72,1.3860564453125
721.9,1.3588002929687502
732.07,1.3317248352050781
742.25,1.270975
752.43,1.2689900512695311
762.6,1.2509797973632812
772.78,1.2104399414062499
782.95,1.1898699340820313
793.13,1.1424429077148437
803.3,1.1271298767089846
813.48,1.11771201171875
823.65,1.0730748901367186
833.83,1.0436562255859376
844.0,1.014
854.18,0.8794395751953125
864.35,0.9842784033203125
874.53,0.9419693041992188
884.7,0.9513391363525391
894.88,0.925760009765625
905.05,0.9174901245117187
932.64,0.8679816650390625
942.73,0.829504775390625
952.82,0.82113357421875
962.91,0.7979809106445312
972.99,0.781553662109375
983.08,0.7748818872070313
993.17,0.7567503637695313
1003.3,0.7362510858154298
1013.3,0.7205149627685548
1023.4,0.6996280383300781
1033.49,0.6798668627929688
1043.59,0.6705999841308593
1053.69,0.65543453125
1063.79,0.644211171875
1073.89,0.6292364855957031
1083.99,0.613870751953125
1094.09,0.5626175524902344
1104.19,0.5926201171875
1114.19,0.5836201171875
1124.28,0.5718335302734375
1134.38,0.5630951953125
1144.48,0.54740990234375
1154.58,0.54697396484375
1164.68,0.5322668286132812
1174.77,0.52060822265625
1184.87,0.5153908752441406
1194.97,0.5060806567382813
1205.07,0.5017219750976563
1215.17,0.49015772705078126
1225.17,0.47942174438476565
1235.27,0.4670313427734375
1245.36,0.4569899597167969
1255.46,0.45252484375
1265.56,0.44461900390625
1275.66,0.44151204101562497
1285.76,0.42885439697265626
1295.86,0.4197409948730469
1305.96,0.410385595703125
1316.05,0.39455783935546873
1326.05,0.392113828125
1336.15,0.38239101318359375
1346.25,0.376055
1356.35,0.3672306066894531
1366.45,0.36434517089843754
1376.55,0.35592021484374997
1386.65,0.35260941284179687
1396.74,0.3493486010742188
1406.84,0.34097642700195313
1416.94,0.3373328564453125
1426.94,0.3271863427734375
1437.04,0.327785927734375
1447.14,0.31807044921875
1457.23,0.3132632275390625
1467.33,0.3113326513671875
1477.43,0.30240538818359375
1487.53,0.28152978515625
1497.63,0.29849061279296873
1507.73,0.29121966796875
1517.83,0.2889450048828125
1527.92,0.2847456848144531
1537.92,0.27398606689453125
1548.02,0.2670939111328125
1558.12,0.26802000122070313
1568.22,0.26093253173828124
1578.32,0.2586505615234375
1588.42,0.24251596679687498
1598.51,0.252964736328125
1608.61,0.24912992065429687
1618.71,0.24279397460937502
1628.81,0.241182177734375
1638.81,0.22300540527343748
1648.9,0.22408386718749998
1659.0,0.22221
1669.1,0.21848890258789064
1679.2,0.2116423193359375
1689.3,0.20817001953125
1699.4,0.20697993530273437
1709.5,0.199474
1719.6,0.19830201904296874
1729.7,0.19331743701171877
1739.7,0.18952932177734377
1749.79,0.18522451171875
1759.89,0.18248851220703127
1769.99,0.1796934833984375
1780.09,0.17550444970703125
1790.19,0.17360781152343752
1800.29,0.1680487265625
1810.38,0.16755714672851563
1820.48,0.1602467099609375
1830.58,0.15902325415039062
1840.58,0.15521378320312498
1850.68,0.15308301733398438
1860.78,0.14898210693359373
1870.87,0.14332885302734374
1880.98,0.146485763671875
1891.07,0.13998416137695313
1901.17,0.1400894079589844
1911.27,0.1364307783203125
1921.37,0.13458616015625
1931.47,0.1317381142578125
1941.57,0.126360107421875
1951.57,0.12691681787109374
1961.66,0.12504089819335937
1971.76,0.12295799560546875
1981.86,0.11943448193359375
1991.96,0.118621462890625
2002.06,0.11602133984375
2012.15,0.11463409448242187
2022.25,0.111848
2032.35,0.10943620263671874
2042.45,0.107376396484375
2052.45,0.10532711181640625
2062.55,0.10249618652343749
2072.65,0.10095
2082.75,0.0987635
2092.84,0.09665957275390626
2102.94,0.0959518857421875
2113.04,0.09415575390625
2123.14,0.092537140625
2133.24,0.0915635224609375
2143.34,0.09030850048828126
2153.34,0.08915554541015625
2163.43,0.08384954052734375
2173.53,0.08564534228515626
2183.63,0.0846690390625
2193.73,0.08338617871093751
2203.83,0.08134223046875
2213.93,0.08049560546875
2224.03,0.07906309326171874
2234.12,0.078012708984375
2244.22,0.0762905615234375
2254.22,0.07450068603515625
2264.32,0.07339014892578125
2274.42,0.07268452734375
2284.52,0.0713809599609375
2294.61,0.06944737939453124
2304.71,0.069413921875
2314.81,0.0681784912109375
2324.91,0.06559729638671874
2335.01,0.0657189990234375
2345.11,0.065083263671875
2355.21,0.06261973632812501
2365.2,0.06298520605468749
2375.3,0.06143400390625
2385.4,0.059228375976562504
2395.5,0.060037
